"","Date","Month","Year","Site.Name","COUNTY","lat_mean","lon_mean","PM2.5","Ozone"
"221",2020-01-18,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,52.5,22.5
"222",2020-01-18,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,51.6666666666667,NA
"223",2020-01-18,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,26,NA
"224",2020-01-18,1,2020,"Linville Falls","Avery",35.972347,-81.933072,5,NA
"225",2020-01-18,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,40,NA
"226",2020-01-18,1,2020,"Millbrook School","Wake",35.856111,-78.574167,46.5,31
"227",2020-01-18,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,30.3333333333333,NA
"228",2020-01-18,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,45,27
"229",2020-01-19,1,2020,"Bryson City","Swain",35.434767,-83.442133,41,NA
"230",2020-01-19,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,19,NA
"231",2020-01-19,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,56.5,NA
"232",2020-01-19,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,54.5,NA
"233",2020-01-19,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,36
"234",2020-01-19,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,52.3333333333333,28.5
"235",2020-01-19,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,44.5,NA
"236",2020-01-19,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,22.5,NA
"237",2020-01-19,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,33.5,NA
"238",2020-01-19,1,2020,"Millbrook School","Wake",35.856111,-78.574167,49.6666666666667,32.5
"239",2020-01-19,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,31,NA
"240",2020-01-19,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,40.5,32
"241",2020-01-20,1,2020,"Bryson City","Swain",35.434767,-83.442133,33,NA
"242",2020-01-20,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,14.5,NA
"243",2020-01-20,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,41,NA
"244",2020-01-20,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,40.6666666666667,NA
"245",2020-01-20,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,40
"246",2020-01-20,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,30,32
"247",2020-01-20,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,31,NA
"248",2020-01-20,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,18.5,NA
"249",2020-01-20,1,2020,"Linville Falls","Avery",35.972347,-81.933072,8,NA
"250",2020-01-20,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,21.5,NA
"251",2020-01-20,1,2020,"Millbrook School","Wake",35.856111,-78.574167,38,35
"252",2020-01-20,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,30.3333333333333,NA
"253",2020-01-20,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,27,35
"254",2020-01-21,1,2020,"Bryson City","Swain",35.434767,-83.442133,39.5,NA
"255",2020-01-21,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,6,NA
"256",2020-01-21,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,26,NA
"257",2020-01-21,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,29,NA
"258",2020-01-21,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,4,44
"259",2020-01-21,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,29.75,34
"260",2020-01-21,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,24.6666666666667,NA
"261",2020-01-21,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,11.5,NA
"262",2020-01-21,1,2020,"Linville Falls","Avery",35.972347,-81.933072,6,NA
"263",2020-01-21,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,23.5,NA
"264",2020-01-21,1,2020,"Millbrook School","Wake",35.856111,-78.574167,35,35.5
"265",2020-01-21,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,19.3333333333333,NA
"266",2020-01-21,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,27,36
"267",2020-01-22,1,2020,"Bryson City","Swain",35.434767,-83.442133,44,NA
"268",2020-01-22,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,15,NA
"269",2020-01-22,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,45.5,NA
"270",2020-01-22,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,49.5,NA
"271",2020-01-22,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,37,34
"272",2020-01-22,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,38.5,NA
"273",2020-01-22,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,22.5,NA
"274",2020-01-22,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,32,NA
"275",2020-01-22,1,2020,"Millbrook School","Wake",35.856111,-78.574167,46.3333333333333,32
"276",2020-01-22,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,29.5,NA
"277",2020-01-22,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,39,NA
"278",2020-01-23,1,2020,"Bryson City","Swain",35.434767,-83.442133,18,NA
"279",2020-01-23,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,8,NA
"280",2020-01-23,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,39.5,NA
"281",2020-01-23,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,26,NA
"282",2020-01-23,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,11,37
"283",2020-01-23,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,18.75,33.5
"284",2020-01-23,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,29,NA
"285",2020-01-23,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,12,NA
"286",2020-01-23,1,2020,"Linville Falls","Avery",35.972347,-81.933072,10,NA
"287",2020-01-23,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,25.5,NA
"288",2020-01-23,1,2020,"Millbrook School","Wake",35.856111,-78.574167,28.25,36
"289",2020-01-23,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,17.6666666666667,NA
